key.id,value.name,value.course_id,value.integration_id,value.created_at,value.updated_at,value.workflow_state,value.sis_batch_id,value.start_at,value.end_at,value.sis_source_id,value.default_section,value.accepting_enrollments,value.restrict_enrollments_to_section_dates,value.nonxlist_course_id,value.enrollment_term_id,meta.ts
9651,PRINCIPIOS DEL SEGURO - 002,5125,,2022-01-08T11:31:20.390Z,2023-06-10T23:03:14.776Z,deleted,10539,2022-01-24T06:00:00.000Z,2022-06-22T05:00:00.000Z,202201-ACT-15357-002-T,,,true,,,2023-06-10T23:40:36.517Z
8760,SEMINARIO DE COMUNICACION ESCRITA - 021,4555,,2021-07-22T22:04:10.929Z,2021-07-22T22:04:10.929Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
5259,SEMINARIO DE COMUNICACION ESCRITA - 013,2660,,2020-12-27T21:03:35.104Z,2020-12-27T21:03:35.104Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
5916,"FINANZAS, II - 002",1978,,2021-01-11T20:51:19.960Z,2021-01-11T20:51:44.127Z,active,,,,,false,,,1981,,2023-03-24T13:09:48.294Z
966,PROPEDEUTICO MATEM.- UNIDAD I - 009,1271,,2020-07-30T19:03:38.980Z,2021-12-31T23:02:37.128Z,deleted,4880,2020-08-01T05:00:00.000Z,2021-01-11T06:00:00.000Z,202003-MAT-14051-009-T,,,true,,,2023-03-24T13:09:48.294Z
12549,FINZS. CORPORA. AVANZADAS - 009,6576,,2022-07-15T22:03:01.515Z,2022-07-19T10:30:44.139Z,deleted,7043,2022-08-01T05:00:00.000Z,2023-01-11T06:00:00.000Z,202203-ADM-15582-009-T,,,true,,,2023-03-24T13:09:48.294Z
14826,SEMINARIO DE COMUNICACION ESCRITA - 009,7524,,2022-08-04T10:36:34.398Z,2022-08-04T10:36:34.398Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
12387,VALORES DE RENTA FIJA - 001,6513,,2022-06-14T22:01:57.681Z,2022-06-14T22:01:57.681Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
4368,"CALCULO DIF. E INT., III - 006",2881,,2020-12-27T21:02:52.130Z,2022-05-31T22:07:16.860Z,deleted,6510,2021-01-01T06:00:00.000Z,2021-06-11T05:00:00.000Z,202101-MAT-14102-006-T,,,true,,,2023-03-24T13:09:48.294Z
6032,SEMINARIO INTERNACIONAL II - 001,3244,,2021-01-26T21:01:21.646Z,2021-01-26T21:01:21.646Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
2630,ELEMENTOS DE FISICA - 001,945,,2020-07-30T19:10:52.505Z,2020-07-30T19:10:52.505Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
9769,SEG INFORMATICA Y HACKEO ETICO - 001,5342,,2022-01-08T11:31:23.074Z,2023-06-10T23:03:16.927Z,deleted,10539,2022-01-24T06:00:00.000Z,2022-06-22T05:00:00.000Z,202201-COM-25705-001-T,,,true,,,2023-06-10T23:40:36.517Z
15104,METODOS CUANTITATIVOS PARA FIN - 001,7922,,2022-09-09T22:03:45.961Z,2022-09-09T22:03:45.961Z,active,12461,2022-09-26T05:00:00.000Z,2022-12-28T06:00:00.000Z,202217-MAT-44611-001-T,,,true,,,2023-11-27T00:40:42.846Z
5592,MERCADOTECNIA I - 003,1838,,2020-12-28T00:06:30.065Z,2020-12-28T00:06:30.065Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
1857,SEMINARIO DE INVESTIGACION ECONOMICA - 004,406,,2020-07-30T19:07:44.432Z,2020-07-30T19:07:44.432Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
17832,ECONOMIA DE LA EMPRESA - 001,9275,,2023-03-10T23:01:14.718Z,2023-03-10T23:01:14.718Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
6807,"MERCADOTECNIA, II - 003",3702,,2021-07-22T22:02:41.433Z,2023-01-03T17:06:37.389Z,active,8810,2021-08-01T05:00:00.000Z,2022-01-11T06:00:00.000Z,202103-ADM-16602-003-T,,,true,,,2023-03-24T13:09:48.294Z
1244,SEMINARIO DE TITULACION - 001,984,,2020-07-30T19:04:12.816Z,2021-12-31T23:02:33.736Z,deleted,4880,2020-08-01T05:00:00.000Z,2021-01-11T06:00:00.000Z,202003-IIO-16180-001-T,,,true,,,2023-03-24T13:09:48.294Z
9318,DIRECCION ESTRATEGICA - 001,4929,,2021-09-17T22:01:40.594Z,2022-12-18T23:05:23.262Z,deleted,8671,2021-09-27T05:00:00.000Z,2021-12-29T06:00:00.000Z,202117-ADM-31414-001-T,,,true,,,2023-03-24T13:09:48.294Z
2748,Pdf por clase,1199,,2020-08-01T16:38:11.432Z,2020-08-01T16:42:04.855Z,deleted,,,,,,,,,,2023-03-24T13:09:48.294Z
11540,PROPEDEUTICO DE MATEMATICAS. UNIDAD III - 001,6044,,2022-01-08T11:32:15.782Z,2022-01-08T11:32:15.782Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
11702,TEORIA ELECTROMAGNETICA - 001,6069,,2022-01-08T11:32:23.178Z,2022-01-08T11:32:23.178Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
3639,"TEORIA DEL DERECHO, I - 002",2172,,2020-12-27T21:02:35.717Z,2022-05-31T22:06:38.585Z,deleted,6510,2021-01-01T06:00:00.000Z,2021-06-11T05:00:00.000Z,202101-DER-11101-002-T,,,true,,,2023-03-24T13:09:48.294Z
515,IDEAS E INST. POL. Y SOC. III - 018,633,,2020-07-30T19:03:05.824Z,2021-12-31T23:02:29.130Z,deleted,4880,2020-08-01T05:00:00.000Z,2021-01-11T06:00:00.000Z,202003-EGN-17123-018-T,,,true,,,2023-03-24T13:09:48.294Z
7374,IDEAS E INST. POL. Y SOC. III - 013,4397,,2021-07-22T22:03:05.926Z,2023-01-03T17:06:37.389Z,active,8810,2021-08-01T05:00:00.000Z,2022-01-11T06:00:00.000Z,202103-EGN-17123-013-T,,,true,,,2023-03-24T13:09:48.294Z
11658,ECUACIONES DIFERENCIALES PARCIALES - 001,6046,,2022-01-08T11:32:20.999Z,2022-01-08T11:32:20.999Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
14213,FORMULACION DE LA POLITICA EXTERIOR DE MEXICO - 001,7136,,2022-07-15T22:04:30.119Z,2022-07-15T22:04:30.119Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
13278,INGLES TECNIC Y PROF. PARA ECO - 001,7387,,2022-07-15T22:03:29.706Z,2022-08-05T10:31:32.995Z,deleted,7224,2022-08-01T05:00:00.000Z,2023-01-11T06:00:00.000Z,202203-LEN-11270-001-T,,,true,,,2023-03-24T13:09:48.294Z
16284,"CALCULO  NUMERICO,I - 001",8981,,2022-12-15T23:05:19.281Z,2022-12-15T23:05:19.281Z,active,12463,2023-01-01T06:00:00.000Z,2023-06-11T05:00:00.000Z,202301-MAT-14400-001-T,,,true,,,2023-11-27T00:40:42.846Z
14169,MACROECONOMIA AVANZADA - 002,7068,,2022-07-15T22:04:28.793Z,2022-07-15T22:04:28.793Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
15393,ESTRATEGIA DE NEGOCIOS I - 005,8058,,2022-12-15T23:05:04.677Z,2023-01-06T21:03:02.360Z,active,12463,2023-01-01T06:00:00.000Z,2023-06-11T05:00:00.000Z,202301-ADM-12107-005-T,false,,true,8063,,2023-11-27T00:40:42.846Z
15555,PROCESO CONTABLE - 002,8226,,2022-12-15T23:05:07.580Z,2022-12-15T23:05:07.580Z,active,12463,2023-01-01T06:00:00.000Z,2023-06-11T05:00:00.000Z,202301-CON-10001-002-T,,,true,,,2023-11-27T00:40:42.846Z
15717,ARGUMENTAC. ORAL Y ESCRITA - 001,8375,,2022-12-15T23:05:10.324Z,2023-01-06T11:31:32.776Z,deleted,8870,2023-01-01T06:00:00.000Z,2023-06-11T05:00:00.000Z,202301-DER-11304-001-T,,,true,,,2023-03-24T13:09:48.294Z
353,ADMINISTRACION DE BANCOS - 001,405,,2020-07-30T19:03:03.796Z,2021-12-31T23:02:16.256Z,deleted,4880,2020-08-01T05:00:00.000Z,2021-01-11T06:00:00.000Z,202003-ADM-15580-001-T,,,true,,,2023-03-24T13:09:48.294Z
14051,INSTITUCIONES DE DERECHO ROMANO - 002,6972,,2022-07-15T22:04:22.411Z,2022-07-15T22:04:22.411Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
13322,SEMIN. DE COMUNICAC. ESCRITA - 014,7537,,2022-07-15T22:03:30.820Z,2022-07-15T22:03:30.820Z,active,12463,2022-08-01T05:00:00.000Z,2023-01-11T06:00:00.000Z,202203-LEN-12702-014-T,,,true,,,2023-11-27T00:40:42.846Z
11207,HISTORIA SOCIO-POLITICA DE MEXICO - 012,5699,,2022-01-08T11:32:02.214Z,2022-01-08T11:32:02.214Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
9156,AUTOMATIZACION Y CONTROL DE PROCESOS - 003,4855,,2021-08-03T10:31:03.405Z,2021-08-03T10:31:03.405Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
3521,"COMPUTACION I, INTENSIVA - 004",2058,,2020-12-27T21:02:33.176Z,2021-01-08T21:03:55.047Z,deleted,1127,2021-01-01T06:00:00.000Z,2021-06-11T05:00:00.000Z,202101-COM-16401-004-T,,,true,,,2023-03-24T13:09:48.294Z
11991,DIRECCION FINANCIERA - 001,6305,,2022-03-11T11:30:57.226Z,2022-03-11T11:30:57.226Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
